"folio","con_ex_p","dis_ex_p","res_ex_p","con_re_p","dis_re_p","res_re_p","totl_tom","tom_mun","tom_loc","t_cm_dom","t_cms_do","t_sm_dom","t_cm_ind","t_cms_in","t_sm_ind","t_cm_com","t_cms_co","t_sm_com","t_cm_pub","t_cms_pu","t_sm_pub","t_cm_mix","t_cms_mx","t_sm_mix","t_cm_tot","t_cms_to","t_sm_tot","factu_ag","fac_cufi","razcufij","c_fija_e","fac_srvm","aj_tarif","ajutarec","ajtarcnf","aj_cnf_e","esq_agua","boni_tar","fon_soli","fom_ahor","otro_esq","oesq_esp","el_capta","desin_ag","el_siste","el_potab","quim_pot","el_trata","quim_tra","remu_agu","remu_dre","remu_tra","der_expl","der_cuer","reha_man","dep_acti","otr_gast","total","ing_agua","agua_tra","saneamie","conexion","der_alca","vnt_lodo","agua_pip","otro_ing","sub_fede","sub_esta","sub_muni","multas","ej_anter","total_in"
"13038","NSS","NSS","NSS","NSS","NSS","NSS","1128","258","870","677","","451","","","","","","","","","","","","","677","","451","1","1","1","","1","2","7","0","","2","NA","NA","NA","NA","","","36000","","","","24000","10000","84000","","","8900","1500","800000","","","964400","639414.54","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","639414.54"
"13039","NA","NA","NA","NA","NA","NA","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","","0","0","0","0","","2","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"13040","104.5","171","","5.8","7.4","","1980","138","1842","","","1854","","","","","","","","","126","","","","","","1980","2","0","0","","0","0","0","0","","2","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"13041","57.82","107.43","","4.2","1.5","","11585","6376","5209","2531","63","7362","8","","","413","","161","35","","48","","","964","2987","63","8535","1","1","3","","1","2","1","0","","2","NA","NA","NA","NA","","1612379.02","62068.98","","","","","","","","","1437419","","526842.32","","8063800.29","11702509.61","10252541.47","","","392876.54","","","","118092.64","388965.17","","","366408.43","311974","11830858.25"
"13042","10","9","","0.972","0.451","","1800","1800","","","","1800","","","","","","","","","","","","","","","1800","1","1","1","","2","2","2","0","","2","NA","NA","NA","NA","","44350.05","41958.41","","","","","","","","","","","","","","86308.46","334842.4","","","15460","","","","","","","","","","350302.4"
"13043","110","60","","7","7","","1594","1307","287","287","","1307","","","","","","","","","","","","","287","","1307","1","1","1","","1","2","1","0","","2","NA","NA","NA","NA","","296849","45309.4","","","","","","577772.64","","","","","","","","919931.04","607475.38","","","18772","","","","","","","","","","626247.38"
"13044","NSS","NSS","","1790","248","","4968","650","4318","1124","","3633","18","","","81","","60","31","","21","","","","1254","","3714","1","1","1","","1","2","1","0","","2","NA","NA","NA","NA","","5436421.82","152799.6","2718213.15","","","","","","","","","","1321808.32","","7338961.55","16968204.44","4452543.97","","2150.81","174189.11","3130.93","","471075.43","","","","8382975.5","248814.12","2608692.89","16343572.76"
"13045","29","15","","NA","NA","NA","1574","302","1272","","","1565","","","","","","9","","","","","","","","","1574","1","1","1","","2","1","0","2","","2","NA","NA","NA","NA","","NSS","217576.21","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","217576.21","321000.09","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","321000.09"
"13046","10","10","","1","1","","15000","7000","8000","","","14000","","","","","","","","","1000","","","","","","15000","2","0","0","","0","0","0","0","","2","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"13047","41.6","NSS","","","","","1025","304","721","1004","","","","","","","","","21","","","","","","1025","","","1","2","0","","1","2","2","0","","2","NA","NA","NA","NA","","1054012.69","","","","","789548.74","","","","","","","270027.9","","359613.87","2473203.2","1427570","","","346960","","","987550","","204030","","","","","2966110"
"13048","2882","764","294","22","71","","240447","","","210338","12858","1843","118","25","","13336","1055","4","802","66","2","NA","NA","NA","224594","14004","1849","1","1","4","POR ASI ESTAR CONVENIDO CON LAS PRESIDENCIAS MUNICIPALES Y USUARIOS.","1","1","0","3","","2","NA","NA","NA","","","148494196.89","NSS","NSS","NSS","NSS","NSS","","198097142","","","15560439","1462337","NSS","20292086","246798429.11","630704630","405699583.56","843321.24","38261780.58","23860612.38","14644194.8","","8836432.57","128811387.71","16185579.94","38005191.26","","9391084.01","5390563.76","689929731.81"
"13049","400","NSS","NSS","","","","693","693","","NA","NA","580","NA","NA","","NA","NA","100","NA","NA","3","NA","NA","10","NA","NA","693","1","1","4","SE ESTABLECIO UNA CUOTA ESTANDAR DE PAGO PARA TODA LA CABECERA MUNICIPAL.","2","2","7","0","","2","NA","NA","NA","NA","","","1750","","","","","","","","","","","","","","1750","26580.9","","","1602","","","","","","","","268.86","","28451.76"
"13050","55","75","","1","","","8040","6249","1791","3580","1524","2480","13","","","347","","","96","","","","","","4036","1524","2480","1","1","1","","1","1","0","4","","2","NA","NA","NA","NA","","3769450","1360725.59","3814996.19","","","","","","","","22887","","","","NA","8968058.78","8517464.17","","258924.8","275663.44","585230.28","","","","","","","299954","NA","9937236.69"
"13051","NA","NA","NA","NA","NA","NA","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","","0","0","0","0","","2","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"13052","120","120","","102","102","","6728","3316","3412","5751","","749","37","","","191","","","","","","","","","5979","","749","1","1","1","","1","1","0","4","","2","NA","NA","NA","","","","80295.8","","","","","","5078774","","","","","507134","","2678715.4","8344919.2","5661208.52","","","9991.56","859487.67","","368552.14","875316.45","","","","350830.6","","8125386.94"
"13053","NSS","NSS","NSS","NSS","NSS","NSS","NSS","843","NSS","","","828","","","","","","15","","","","","","","","","843","1","1","1","","2","1","0","2","","2","NA","NA","NA","NA","","NSS","NSS","NSS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NSS","126419.42","NA","NA","21555.5","NA","NA","NA","NA","NA","NA","NA","5799.48","NA","153774.4"
"13054","14.6","175","","","","","7656","563","7093","2331","","5245","4","","6","50","","19","1","","","","","","2386","","5270","1","1","1","","1","1","0","2","","1","NA","990","NA","","","7204814.14","70060","","","","","","","","","","","112238","","3331641.5","10718753.64","4092865.85","","","263875.1","","","","","","","","17707","1027","4375474.95"
"13055","382","NSS","","","","","2994","1400","1594","617","","2368","1","","","1","","","1","","6","","","","620","","2374","2","0","0","","0","0","0","0","","2","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"13056","NSS","NSS","NSS","NSS","NSS","NSS","12962","4176","8786","","","12272","","","20","","","170","","","","","","","","","12462","1","1","3","","2","2","2","0","","2","NA","NA","NA","NA","","","239156.43","","","","","","","","","129897","","417.255","714819.38","","1084290.065","6425096.25","","","1190967.15","538411.23","","31151.38","","","","","22968.86","1655644.56","9864239.43"
"13057","NA","NA","NA","NA","NA","NA","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","","0","0","0","0","","2","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"13058","NSS","NSS","NSS","NSS","NSS","NSS","3159","2735","424","409","","2658","","","","15","","77","","","","","","","424","","2735","1","1","1","","1","2","1","0","","2","NA","NA","NA","NA","","2635966","335040","","","","26058","","","","","19840","","522617.09","","","3539521.09","782006.73","","","81534","32120","","2200.52","","","","","2890","","900751.25"
"13059","1","20","","","","","4915","4864","51","2263","NA","2337","43","NA","NA","257","NA","NA","15","NA","NA","NA","NA","NA","2578","NA","2337","1","1","1","","1","2","7","0","","2","NA","NA","NA","NA","","2519040","56987.2","","","","","","1720905","","","","","","","","4296932.2","1575029.68","","","148987.33","423933.89","","","","","","","128049.6","","2276000.5"
"13060","8","13","","","","","3500","950","2550","","","3500","","","","","","","","","","","","","","","3500","1","1","1","","2","2","3","0","","2","NA","NA","NA","NA","","89532","193264.12","","","","","","","","","","","535251.74","","","818047.86","38821.2","","","11600","1000","","","","","","","","","51421.2"
