"id_recibo","folio","recibcon","si_inclu","no_inclu","no_aplic"
"451","16031","9","","","1"
"452","16031","10","","","1"
"453","16031","11","","","1"
"454","16031","12","","","1"
"455","29056","7","","","1"
"456","11038","5","","","1"
"457","20369","12","","","1"
"458","20542","6","","","1"
"459","20542","7","","","1"
"460","20542","11","","","1"
"461","20542","12","","","1"
"462","16071","7","","","1"
"463","20109","2","","","1"
"464","8033","1","","","1"
"465","8033","2","","","1"
"466","8033","3","","","1"
"467","8033","4","","","1"
"468","8033","5","","","1"
"469","8033","6","","","1"
"470","8033","7","","","1"
"471","8033","8","","","1"
"472","8033","9","","","1"
"473","8033","10","","","1"
"474","8033","11","","","1"
"475","8033","12","","","1"
"476","26028","4","","","1"
"477","26028","5","","","1"
"478","26028","7","","","1"
"479","26002","4","","","1"
"480","8016","1","","","1"
"481","8016","2","","","1"
"482","8016","3","","","1"
"483","8016","4","","","1"
"484","8016","5","","","1"
"485","8016","6","","","1"
"486","8016","7","","","1"
"487","8016","8","","","1"
"488","8016","9","","","1"
"489","8016","10","","","1"
"490","8016","11","","","1"
"491","8016","12","","","1"
"492","15029","4","","","1"
"493","15029","5","","","1"
"494","26028","10","","","1"
"495","26028","11","","","1"
"496","30008","1","","","1"
"497","30008","3","","","1"
"498","30008","4","","","1"
"499","30008","5","","","1"
"500","30008","6","","","1"
"501","30008","7","","","1"
"502","30008","8","","","1"
"503","30008","9","","","1"
"504","30008","10","","","1"
"505","30008","11","","","1"
"506","30008","12","","","1"
"507","30019","3","","","1"
"508","30019","4","","","1"
"509","30019","5","","","1"
"510","13029","11","","","1"
"511","5011","7","","","1"
"512","16001","7","","","1"
"513","12012","2","","","1"
"514","12012","3","","","1"
"515","7065","4","","","1"
"516","7065","5","","","1"
"517","7065","7","","","1"
"518","7065","8","","","1"
"519","7065","11","","","1"
"520","7065","12","","","1"
"521","8061","1","","","1"
"522","8061","2","","","1"
"523","8061","3","","","1"
"524","8061","4","","","1"
"525","8061","5","","","1"
"526","8061","6","","","1"
"527","8061","7","","","1"
"528","8061","8","","","1"
"529","8061","9","","","1"
"530","8061","10","","","1"
"531","8061","11","","","1"
"532","8061","12","","","1"
"533","14071","10","","","1"
"534","14071","11","","","1"
"535","14071","12","","","1"
"536","20514","3","","","1"
"537","20514","4","","","1"
"538","20514","5","","","1"
"539","20514","6","","","1"
"540","20514","7","","","1"
"541","20514","8","","","1"
"542","20514","10","","","1"
"543","20514","11","","","1"
"544","20514","12","","","1"
"545","30212","6","","","1"
"546","30212","7","","","1"
"547","7057","6","","","1"
"548","7057","7","","","1"
"549","31082","8","","","1"
"550","14035","1","","","1"
"551","14035","2","","","1"
"552","14035","3","","","1"
"553","14035","4","","","1"
"554","14035","6","","","1"
"555","14035","8","","","1"
"556","14035","9","","","1"
"557","14035","10","","","1"
"558","14035","11","","","1"
"559","14035","12","","","1"
"560","30011","4","","","1"
"561","30112","4","","","1"
"562","30112","6","","","1"
"563","30112","7","","","1"
"564","30112","8","","","1"
"565","30112","11","","","1"
"566","30112","12","","","1"
"567","14078","4","","","1"
"568","20091","3","","","1"
"569","20091","1","","","1"
"570","20091","2","","","1"
"571","20091","4","","","1"
"572","20091","5","","","1"
"573","20091","6","","","1"
"574","20091","7","","","1"
"575","20091","8","","","1"
"576","20091","9","","","1"
"577","20091","10","","","1"
"578","20091","11","","","1"
"579","20091","12","","","1"
"580","15113","4","","","1"
"581","20148","6","","","1"
"582","20148","7","","","1"
"583","20148","8","","","1"
"584","20148","9","","","1"
"585","20148","10","","","1"
"586","20148","11","","","1"
"587","20148","12","","","1"
"588","20319","1","","","1"
"589","20319","2","","","1"
"590","20319","3","","","1"
"591","20319","4","","","1"
"592","20319","5","","","1"
"593","20319","6","","","1"
"594","20319","7","","","1"
"595","20319","8","","","1"
"596","20319","9","","","1"
"597","20319","10","","","1"
"598","20319","11","","","1"
"599","20319","12","","","1"
"600","7054","2","","","1"
"601","7054","3","","","1"
"602","7054","4","","","1"
"603","7054","5","","","1"
"604","7054","7","","","1"
"605","7054","8","","","1"
"606","7054","9","","","1"
"607","7054","10","","","1"
"608","7054","11","","","1"
"609","7054","12","","","1"
"610","11005","11","","","1"
"611","26003","4","","","1"
"612","26003","5","","","1"
"613","26003","11","","","1"
"614","26003","12","","","1"
"615","15049","2","","","1"
"616","15049","3","","","1"
"617","15049","4","","","1"
"618","15049","6","","","1"
"619","15049","7","","","1"
"620","15049","8","","","1"
"621","15049","9","","","1"
"622","15049","10","","","1"
"623","16047","11","","","1"
"624","16047","12","","","1"
"625","14003","5","","","1"
"626","14003","6","","","1"
"627","14071","1","","","1"
"628","14071","2","","","1"
"629","14071","8","","","1"
"630","14071","9","","","1"
"631","26005","1","","","1"
"632","26005","2","","","1"
"633","26005","3","","","1"
"634","26005","4","","","1"
"635","26005","5","","","1"
"636","26005","6","","","1"
"637","26005","7","","","1"
"638","26005","8","","","1"
"639","26005","9","","","1"
"640","26005","10","","","1"
"641","26005","11","","","1"
"642","26005","12","","","1"
"643","30080","6","","","1"
"644","30080","7","","","1"
"645","18003","1","","","1"
"646","18003","2","","","1"
"647","18003","3","","","1"
"648","18003","4","","","1"
"649","18003","5","","","1"
"650","18003","6","","","1"
"651","18003","7","","","1"
"652","18003","8","","","1"
"653","18003","9","","","1"
"654","18003","10","","","1"
"655","18003","11","","","1"
"656","18003","12","","","1"
"657","30080","8","","","1"
"658","30080","11","","","1"
"659","8064","1","","","1"
"660","8064","2","","","1"
"661","29010","4","","","1"
"662","29010","5","","","1"
"663","29010","6","","","1"
"664","29010","7","","","1"
"665","29010","9","","","1"
"666","29010","10","","","1"
"667","29010","11","","","1"
"668","29016","8","","1",""
"669","29016","9","","1",""
"670","8064","3","","","1"
"671","8064","4","","","1"
"672","8064","5","","","1"
"673","8064","6","","","1"
"674","8064","7","","","1"
"675","8064","8","","","1"
"676","8064","9","","","1"
"677","8064","10","","","1"
"678","8064","11","","","1"
"679","8064","12","","","1"
"680","12046","6","","","1"
"681","12046","7","","","1"
"682","12046","8","","","1"
"683","12046","9","","","1"
"684","12046","12","","","1"
"685","30042","3","","","1"
"686","30042","4","","","1"
"687","30042","5","","","1"
"688","30042","6","","","1"
"689","30042","7","","","1"
"690","30042","8","","","1"
"691","30042","9","","","1"
"692","30042","10","","","1"
"693","13062","7","","","1"
"694","20369","11","","","1"
"695","30167","12","","","1"
"696","20370","4","","1",""
"697","20370","5","","1",""
"698","20370","6","","1",""
"699","20370","7","","1",""
"700","30140","1","","","1"
