"id_serv","folio","tipotom2","num_tom","recib_ex","mon_fact","mon_reca","v_sum_m3","frecfac2"
"14573","30132","4","24","288","79601.52","28350","5270","1"
"14574","30144","1","181","2172","297744.92","78004.36","2680","1"
"14575","30144","3","20","240","41270.08","36949.8","385","1"
"14576","30144","4","2","24","14311.73","8749.9","100","1"
"14577","13050","1","5104","17522","4800023.12","4800023.12","366428","1"
"14578","13050","2","13","843","394614.03","394614.03","15127","1"
"14579","13044","5","","","","","","1"
"14580","28034","1","462","462","63961067.4","32838.91","4336","1"
"14581","24008","1","3844","46128","427375.92","3454429.25","463673","1"
"14582","24008","2","34","408","79723.2","30426.16","26049","1"
"14583","24008","3","254","3048","418185.6","228204.66","34848","1"
"14584","24008","4","72","864","65162.88","65162.88","48270","1"
"14585","24030","1","424","4680","320000","269241","89760","1"
"14586","24030","4","6","","","","72","1"
"14587","10038","1","2063","2063","2970720","1485360","NSS","1"
"14588","10038","2","90","90","577800","520020","NSS","1"
"14589","10038","3","60","60","147960","73980","NSS","1"
"14590","30049","1","116","116","15713","41363","1615","1"
"14591","30049","2","2","2","640","1126","23","1"
"14592","30049","3","31","31","11516","17423","608","1"
"14593","30049","4","11","11","8376","","274","1"
"14594","30054","1","44","528","477927.36","37529.6","1728","1"
"14595","30054","3","10","120","39623.64","33550.22","1680","1"
"14596","30054","4","13","156","303657","32142.21","2364","1"
"14597","30087","1","143164","1717968","421390754.85","247938553.37","16257470","1"
"14598","30087","2","1091","13092","26757309.15","13013883.9","421026","1"
"14599","30087","3","14133","169596","149341578.09","74480602.62","2767449","1"
"14600","11037","1","21436","257232","59266527.41","31810528.61","2145352","1"
"14601","11037","2","94","1128","30784779.01","28304717.84","704166","1"
"14602","11037","3","898","10776","7890194.09","4435144.97","148486","1"
"14603","11037","4","106","1272","1560484.4","618440.45","70999","1"
"14604","11037","5","1701","20412","8078652.15","4715606.55","208623","1"
"14605","11007","1","125203","1502436","265654024","211301798","16091707","1"
"14606","6010","5","742","ND","ND","ND","NSS","1"
"14607","30115","3","175","42","25931.6","14215.2","2451","1"
"14608","21071","1","11237","11237","5102264.49","3884566.45","1576344","1"
"14609","21071","2","101","101","361306.6","229162.55","37875","1"
