"folio","agu_bloq","ag_super","vo_super","vendsupr","ve_sup_e","ag_subte","vo_subte","vendsubt","ve_sub_e"
"12069","2","0","NA","0","","0","NA","0",""
"12070","2","0","NA","0","","0","NA","0",""
"12071","2","0","NA","0","","0","NA","0",""
"12072","2","0","NA","0","","0","NA","0",""
"12073","2","0","NA","0","","2","NA","0",""
"12074","2","0","NA","0","","0","NA","0",""
"12075","2","0","NA","0","","0","NA","0",""
"12076","2","0","NA","0","","0","NA","0",""
"12077","2","0","NA","0","","0","NA","0",""
"12078","2","0","NA","0","","0","NA","0",""
"12079","2","0","NA","0","","0","NA","0",""
"12080","2","0","NA","0","","0","NA","0",""
"12081","2","0","NA","0","","0","NA","0",""
"13001","2","0","NA","0","","0","NA","0",""
"13002","2","0","NA","0","","0","NA","0",""
"13003","2","0","NA","0","","0","NA","0",""
"13004","2","0","","0","","0","NA","0",""
"13005","2","0","NA","0","","0","NA","0",""
"13006","1","2","NA","0","","1","20572","2",""
"13007","2","0","NA","0","","0","NA","0",""
"13008","2","0","NA","0","","0","NA","0",""
"13009","2","0","NA","0","","0","NA","0",""
"13010","2","2","NA","0","","1","NA","0",""
"13011","2","0","NA","0","","0","NA","0",""
"13012","2","0","NA","0","","0","NA","0",""
"13013","2","0","NA","0","","0","NA","0",""
"13014","2","0","NA","0","","0","NA","0",""
"13015","2","0","NA","0","","0","NA","0",""
"13016","2","0","NA","0","","0","NA","0",""
"13017","2","0","NA","0","","0","NA","0",""
"13018","2","0","NA","0","","0","NA","0",""
"13019","2","0","NA","0","","0","NA","0",""
"13020","2","0","NA","0","","0","NA","0",""
"13021","2","0","NA","0","","0","NA","0",""
"13022","2","0","NA","0","","0","NA","0",""
"13023","2","0","NA","0","","0","NA","0",""
"13024","2","0","NA","0","","0","NA","0",""
"13025","2","0","NA","0","","0","NA","0",""
"13026","2","0","NA","0","","0","NA","0",""
"13027","2","0","NA","0","","0","NA","0",""
"13028","2","0","NA","0","","0","NA","0",""
"13029","2","0","NA","0","","0","NA","0",""
"13030","2","0","NA","0","","0","NA","0",""
"13031","2","0","NA","0","","0","NA","0",""
"13032","2","0","NA","0","","0","NA","0",""
"13033","2","0","NA","0","","0","NA","0",""
"13034","2","0","NA","0","","0","NA","0",""
"13035","2","0","NA","0","","0","NA","0",""
"13036","2","0","NA","0","","0","NA","0",""
"13037","2","0","NA","0","","0","NA","0",""
"13038","1","1","20000","1","","2","NA","0",""
"13039","2","0","NA","0","","0","NA","0",""
"13040","0","0","","0","A COMUNIDAD DEL MUNICIPIO","0","","0",""
"13041","1","1","1467055","3","","2","NA","0",""
"13042","2","0","NA","0","","0","NA","0",""
"13043","2","0","NA","0","","0","NA","0",""
"13044","2","0","NA","0","","0","NA","0",""
"13045","2","0","NA","0","","0","NA","0",""
"13046","2","0","NA","0","","2","NA","0",""
"13047","2","0","NA","0","","0","NA","0",""
"13048","2","0","NA","0","","0","NA","0",""
"13049","2","0","NA","0","","0","NA","0",""
"13050","1","1","630720","3","","2","NA","0",""
"13051","0","0","NA","0","","0","NA","0",""
"13052","1","2","NA","0","","1","47184","3",""
"13053","2","0","NA","0","","0","NA","0",""
"13054","2","0","NA","0","","0","NA","0",""
"13055","2","0","NA","0","","0","NA","0",""
"13056","2","0","NA","0","","0","NA","0",""
"13057","0","0","NA","0","","0","NA","0",""
"13058","2","0","NA","0","","0","NA","0",""
"13059","1","2","NA","0","","1","36000","2",""
"13060","2","0","NA","0","","0","NA","0",""
"13061","2","0","NA","0","","0","NA","0",""
"13062","2","0","NA","0","","0","NA","0",""
"13063","2","0","NA","0","","0","NA","0",""
"13064","2","0","NA","0","","0","NA","0",""
"13065","2","0","NA","0","","0","NA","0",""
"13066","2","0","NA","0","","0","NA","0",""
"13067","2","0","NA","0","","0","NA","0",""
"13068","2","0","NA","0","","0","NA","0",""
"13069","1","2","NA","0","","1","2403544","1",""
"13070","2","0","NA","0","","0","NA","0",""
"13071","2","0","NA","0","","0","NA","0",""
"13072","2","0","NA","0","","0","NA","0",""
"13073","2","0","NA","0","","0","NA","0",""
"13074","2","0","NA","0","","0","NA","0",""
"13075","2","0","","0","","0","NA","0",""
"13076","1","2","NA","0","","1","4363","2",""
"13077","2","0","NA","0","","0","NA","0",""
"13078","2","0","NA","0","","0","NA","0",""
"13079","2","0","NA","0","","0","NA","0",""
"13080","2","0","NA","0","","0","NA","0",""
"13081","1","0","NA","0","","0","NSS","0",""
"13082","1","0","NA","0","","0","NSS","0",""
"13083","2","0","NA","0","","0","NA","0",""
"13084","2","0","NA","0","","0","NA","0",""
"14001","2","0","NA","0","","0","NA","0",""
"14002","2","0","NA","0","","0","NA","0",""
"14003","2","0","NA","0","","0","NA","0",""
"14004","2","0","NA","0","","0","NA","0",""
"14005","2","0","NA","0","","0","NA","0",""
"14006","2","0","NA","0","","2","NA","0",""
"14007","2","0","NA","0","","0","NA","0",""
"14008","2","0","NA","0","","0","NA","0",""
"14009","2","0","NA","0","","0","NA","0",""
"14010","2","0","NA","0","","0","NA","0",""
"14011","2","0","NA","0","","0","NA","0",""
"14012","2","0","NA","0","","0","NA","0",""
"14013","2","0","NA","0","","0","NA","0",""
"14014","2","0","NA","0","","0","NA","0",""
"14015","2","0","NA","0","","0","NA","0",""
"14016","2","0","NA","0","","0","NA","0",""
"14017","2","0","NA","0","","0","NA","0",""
"14018","2","0","NA","0","","0","NA","0",""
"14019","2","0","NA","0","","0","NA","0",""
"14020","2","0","NA","0","","0","NA","0",""
"14021","2","0","NA","0","","0","NA","0",""
"14022","2","0","NA","0","","0","NA","0",""
"14023","2","0","","0","","0","NA","0",""
"14024","2","0","NA","0","","0","NA","0",""
"14025","2","0","NA","0","","0","NA","0",""
"14026","2","0","NA","0","","0","NA","0",""
"14027","2","0","NA","0","","0","NA","0",""
"14028","2","0","NA","0","","0","NA","0",""
"14029","2","0","NA","0","","0","NA","0",""
"14030","2","0","NA","0","","0","NA","0",""
"14031","2","0","NA","0","","0","NA","0",""
"14032","2","0","NA","0","","0","NA","0",""
"14033","1","2","NA","0","","1","2615","6",""
"14034","2","0","NA","0","","0","NA","0",""
"14035","2","0","NA","0","","0","NA","0",""
"14036","2","0","NA","0","","0","NA","0",""
"14037","2","0","NA","0","","0","NA","0",""
"14038","2","0","NA","0","","0","NA","0",""
"14039","2","0","NA","0","","0","NA","0",""
"14040","2","0","NA","0","","0","NA","0",""
"14041","2","0","NA","0","","2","NA","0",""
"14042","2","0","NA","0","","0","NA","0",""
"14043","2","0","NA","0","","0","NA","0",""
"14044","2","0","NA","0","","0","NA","0",""
"14045","2","0","NA","0","","0","NA","0",""
