"id_dren","folio","regjurid","dr_ini_a","dr_ter_a","ini_re_a","ter_re_a","ot_publi","ot_priva","ot_socia","ambito"
"8082","30108","1","NA","NA","NA","NA","","","","3"
"8083","30170","1","NA","NA","NA","NA","","","","2"
"8084","1011","1","NA","NA","NA","NA","","","","3"
"8085","30172","1","NA","NA","NA","NA","","","","2"
"8086","1008","1","NA","NA","NA","NA","","","","1"
"8087","30173","1","NA","NA","NA","NA","","","","3"
"8088","10006","4","NA","NA","NA","NA","","","","2"
"8092","10009","4","NA","NA","NA","NA","","","","2"
"8093","10016","1","NA","NA","NA","NA","","","","3"
"8094","10020","4","NA","NA","NA","NA","","","","2"
"8095","10021","4","NA","NA","NA","NA","","","","3"
"8097","10024","4","NA","NA","NA","NA","","","","2"
"8098","10025","1","NA","NA","NA","NA","","","","2"
"8099","19040","6","NA","NA","NA","NA","","","","1"
"8100","10026","4","NA","NA","NA","NA","","","","3"
"8101","10028","4","NA","NA","NA","NA","","","","2"
"8102","10031","4","NA","NA","NA","NA","","","","2"
"8103","10038","4","NA","NA","NA","NA","","","","2"
"8104","10032","4","NA","NA","NA","NA","","","","2"
"8105","30174","4","NA","NA","NA","NA","","","","3"
"8107","10008","4","NA","NA","NA","NA","","","","2"
"8109","10039","4","NA","NA","NA","NA","","","","2"
"8126","9003","1","NA","NA","NA","NA","","","","1"
"8127","9003","7","NA","NA","NA","NA","DESCONCENTRADO","","","1"
"8128","30179","1","NA","NA","NA","NA","","","","2"
"8129","9004","1","NA","NA","NA","NA","","","","1"
"8130","9004","7","NA","NA","NA","NA","DESCONCENTRADO","","","1"
"8131","17028","1","NA","NA","NA","NA","","","","1"
"8132","13035","1","NA","NA","NA","NA","","","","1"
"8133","17003","1","NA","NA","NA","NA","","","","1"
"8134","9006","1","NA","NA","NA","NA","","","","1"
"8135","9006","7","NA","NA","NA","NA","DESCONCENTRADO","","","1"
"8136","9005","1","NA","NA","NA","NA","","","","1"
"8137","9005","7","NA","NA","NA","NA","DESCONCENTRADO","","","1"
"8139","18001","4","NA","NA","NA","NA","","","","2"
"8140","18001","11","NA","NA","NA","NA","","","","4"
"8141","4002","1","NA","NA","NA","NA","","","","2"
"8143","17031","1","NA","NA","NA","NA","","","","1"
"8145","9008","1","NA","NA","NA","NA","","","","1"
"8146","9008","7","NA","NA","NA","NA","DESCONCENTRADO","","","1"
"8147","9009","1","NA","NA","NA","NA","","","","1"
"8148","9009","7","NA","NA","NA","NA","DESCONCENTRADO","","","1"
"8149","19005","6","NA","NA","NA","NA","","","","1"
"8150","24054","1","NA","NA","NA","NA","","","","2"
