"id_dren","admn_id","localid"
"2628","7344","132422"
"2633","1064","300955"
"2639","1244","264447"
"2640","5470","117099"
"2645","6002","118587"
"2646","6022","301397"
"2647","6023","301400"
"2651","6560","276742"
"2652","505","254957"
"2667","7348","301256"
"2671","7351","50852"
"2675","7353","51439"
"2682","7079","295520"
"2687","7144","146871"
"2693","7206","123542"
"2695","7596","159816"
"2699","759","21790"
"2714","6009","117408"
"2715","6088","96914"
"2721","698","35333"
"2722","802","301411"
"2725","963","221612"
"2732","1184","280891"
"2733","1186","50038"
"2739","325","11892"
"2741","344","14638"
"2749","1082","215851"
"2751","7639","114902"
"2752","630","259940"
"2764","4065","257334"
"2767","6508","176875"
"2768","3221","282922"
"2770","6663","302098"
"2776","1405","95454"
"2780","6725","141964"
"2781","6769","301470"
"2786","1743","272286"
"2800","3322","261354"
"2801","5788","115296"
"2802","3645","29290"
"2815","5744","115173"
"2816","5834","152966"
"2817","6587","182864"
"2826","1188","281155"
"2827","1189","50059"
"2831","1414","98534"
"2832","6544","273375"
"2834","6593","282582"
"2837","7022","76230"
"2848","2368","50108"
"2852","2373","281017"
"2859","5864","140419"
"2874","3806","149876"
"2875","5105","144314"
"2884","464","219729"
"2885","465","217313"
"2895","3445","96693"
"2896","3448","302582"
"2901","3963","42375"
"2903","7450","148649"
"2911","3303","59871"
"2914","7072","295440"
"2915","5802","119489"
"2917","7455","55126"
"2918","2327","266402"
"2920","4141","271639"
"2921","8977","188282"
"2923","8986","188706"
"2929","1363","277296"
"2930","1365","265626"
"2936","5763","301355"
"2942","1723","267170"
"2946","3074","263892"
"2949","5777","119763"
"2953","2223","140380"
"2967","5951","116115"
"2970","5967","142407"
"2973","6068","200863"
"2986","7367","51777"
"2998","2322","260221"
"3007","5907","115660"
"3010","5945","302087"
"3011","401","26893"
"3020","5948","116176"
"3021","5955","116150"
"3028","5944","115998"
"3032","5915","301439"
"3049","3748","236181"
"3068","8965","127316"
"3071","6847","150042"
"3081","8964","136738"
"3091","7574","297333"
"3096","7857","208121"
"3100","7697","113119"
"3120","8357","162147"
"3122","8382","124360"
"3125","8424","193284"
"3128","5638","115051"
"3129","8781","138049"
"3136","8386","121350"
"3140","8403","192711"
"3143","8421","193112"
"3166","8854","194997"
"3173","8313","301234"
"3195","8879","152297"
"3201","9168","128299"
"3212","7946","294281"
"3214","7976","157408"
"3231","9510","266536"
"3248","8007","301320"
"3249","8006","128530"
"3253","7752","81444"
"3259","7850","125795"
"3264","9721","177960"
"3267","2385","302984"
"3275","8462","195417"
"3282","1421","282033"
"3294","9601","174930"
"3309","8872","115507"
"3310","8348","161080"
"3314","8873","115504"
"3316","8928","125503"
"3318","1683","98969"
"3320","1684","301444"
"3321","7848","207292"
"3322","3141","142752"
"3324","7809","205825"
"3325","7665","109713"
"3329","7798","209606"
"3331","8087","279054"
"3334","8105","279213"
"3335","8241","126934"
"3339","8283","226540"
"3340","8384","132862"
"3341","8408","192768"
"3344","8290","161524"
"3346","7898","125932"
"3364","8963","301325"
"3365","8983","205315"
"3368","9061","192148"
"3379","8195","124699"
"3380","8311","283363"
"3381","8359","162293"
"3382","8471","193508"
"3385","8569","207358"
"3388","8852","301241"
"3395","8884","188591"
"3396","8888","190220"
"3398","8528","191687"
"3399","8692","279719"
"3400","9349","135695"
"3421","9367","92074"
"3427","9691","197535"
"3428","9445","295861"
"3430","9728","191411"
"3431","9705","195648"
"3434","7679","111334"
"3436","8961","301296"
"3437","8900","188962"
"3455","9693","197850"
"3458","9802","299845"
"3459","9865","193718"
"3472","342","13881"
"3474","7711","114624"
"3478","8020","300503"
"3486","2161","257224"
"3488","8845","195082"
"3490","7682","110449"
"3491","7688","203068"
"3493","7708","113940"
"3495","9076","138124"
"3496","9043","191076"
"3499","9067","299878"
"3524","7771","97186"
"3528","7649","107008"
"3529","7653","108232"
"3530","7654","108397"
"3534","8027","149911"
"3535","8070","301286"
"3557","8447","187779"
"3572","8305","130004"
"3577","8457","190728"
"3585","9688","196978"
"3588","9162","127562"
"3602","1261","55029"
"3604","7519","300411"
"3605","7672","109786"
"3608","9248","301267"
"3613","8068","133541"
"3615","8071","137132"
"3616","8074","199124"
"3620","10042","197883"
"3624","6462","237538"
"3634","7947","295791"
"3637","7881","258630"
"3642","7666","109732"
"3646","7959","299205"
"3652","7703","113615"
"3658","8202","128248"
"3667","7616","106864"
"3668","7647","295768"
"3676","8002","130219"
"3684","7802","210951"
"3696","9263","116921"
"3701","7587","159076"
"3703","7886","259201"
"3704","8576","188462"
"3708","8321","109739"
"3711","8641","188484"
"3723","6742","301414"
"3738","8203","301285"
"3747","7706","113760"
"3750","8920","123755"
"3754","8945","301323"
"3757","9066","299404"
"3760","1281","140349"
