"id_local","id_aps","localid","ag_dias","ag_horas"
"6319","11005","161982","NSS","NSS"
"6320","10999","161919","NSS","NSS"
"6321","11001","161884","NSS","NSS"
"6322","10985","161889","NSS","NSS"
"6323","10991","161876","NSS","NSS"
"6324","11004","161941","NSS","NSS"
"6325","10989","161961","NSS","NSS"
"6326","10981","161960","NSS","NSS"
"6327","10990","161897","NSS","NSS"
"6328","10998","161905","NSS","NSS"
"6329","11003","161899","NSS","NSS"
"6330","10983","161883","NSS","NSS"
"6331","11709","161296","7","6"
"6332","11241","161733","5","4"
"6333","9238","298621","7","24"
"6334","9238","298625","7","24"
"6335","9238","298633","7","24"
"6336","9238","303138","7","8"
"6338","9953","255373","7","10"
"6339","9956","255371","6","11"
"6340","732","255369","6","14"
"6341","729","255369","7","15"
"6342","1045","101617","3","8"
"6343","1045","101793","3","6"
"6344","1045","101630","3","7.5"
"6345","1045","101724","3","2.5"
"6346","1045","101720","3","1"
"6347","1045","101656","3","7.5"
"6348","1045","101674","3","7"
"6349","1045","101676","3","4"
"6350","1045","101619","3","7.5"
"6351","1045","101664","7","20"
"6352","1045","101601","7","20"
"6353","1045","101571","7","20"
"6354","1045","101717","3","6"
"6355","1045","101648","3","9"
"6356","1045","101583","3","9"
"6357","1045","101712","3","5"
"6358","1045","101634","3","5"
"6359","1045","101686","3","5"
"6360","1045","101568","3","5"
"6361","1045","101604","3","5"
"6362","1045","101610","3","2"
"6363","1045","101632","7","12"
"6364","1045","101702","3","8"
"6365","1045","101589","3","2"
"6366","1045","101641","3","8"
"6367","1045","101611","2","3"
"6368","1045","101587","7","3"
"6369","7061","274742","7","24"
"6370","12564","185722","1","3"
"6371","6803","116311","7","56"
"6372","6803","116332","7","56"
"6373","6803","116331","7","42"
"6374","6803","116312","7","42"
"6375","6803","116322","4","42"
"6376","6803","116374","4","42"
"6377","6803","116346","7","30"
"6378","6803","116319","4","32"
"6379","6803","116318","2","16"
"6380","6803","116329","7","30"
"6381","6803","116330","7","30"
"6382","6803","116361","2","16"
"6383","6803","116315","7","35"
"6384","6803","116316","2","16"
"6385","6803","116323","7","30"
"6386","6803","116339","7","30"
"6387","6803","116326","7","30"
"6388","909","141794","7","24"
"6389","909","141808","7","24"
"6390","909","141820","7","24"
"6391","909","141793","7","24"
"6392","909","141819","7","24"
"6393","909","141810","1","24"
"6394","909","141803","1","24"
"6395","909","141815","1","24"
"6397","7909","102424","7","24"
"6398","7909","102365","7","24"
"6399","7909","102377","7","24"
"6400","7909","102357","7","24"
"6401","7909","102368","7","24"
"6402","7909","102375","7","24"
"6403","7909","102435","7","24"
"6404","7909","102432","7","24"
"6405","7909","102416","7","24"
"6406","7909","102418","7","24"
"6407","7909","102468","7","24"
"6408","7909","102427","7","24"
"6409","7909","102415","7","24"
"6410","7909","102568","7","24"
"6411","7909","102583","7","24"
"6412","7909","102540","7","24"
"6413","7909","102397","7","24"
"6414","7909","102544","7","24"
"6415","7909","102402","3","24"
"6416","7909","102362","3","24"
"6417","7909","102403","3","24"
"6418","7909","102462","7","24"
"6419","7909","102422","7","24"
"6420","7909","102359","7","24"
"6421","7909","102370","7","24"
"6422","7909","102581","7","24"
"6423","7909","102447","7","24"
"6424","7909","102373","7","24"
"6425","7909","102407","7","24"
"6426","7909","102406","7","24"
"6427","6759","178062","7","4"
"6428","371","255379","7","7"
"6431","7521","302067","5","12"
"6432","797","255426","7","6"
"6433","7511","182950","3","5"
"6434","9510","118477","7","14"
"6435","8310","294553","7","24"
"6437","8309","294546","7","24"
"6438","8308","294550","7","24"
"6439","1130","140896","6","8"
"6440","2545","143773","3","24"
"6441","2543","143765","3","24"
"6442","2542","143764","3","24"
"6445","957","255551","7","12"
"6446","956","255546","7","8"
"6447","11447","157495","4","4"
"6448","7868","141978","2","3"
"6449","7868","141970","4","5"
"6450","7868","141998","3","3"
"6451","7868","141993","3","5"
"6452","7868","141972","3","5"
"6453","7868","141987","3","2"
"6454","7868","142000","3","2"
"6455","7868","142010","3","2"
"6456","7868","141985","5","3"
"6457","7868","141983","3","5"
"6458","7868","142002","3","5"
"6459","7868","141990","3","2"
"6460","7868","142005","3","2"
"6461","7868","142014","3","3"
"6462","9728","118527","7","5"
"6463","9723","118522","7","24"
"6464","9736","118542","7","17"
"6465","9732","118531","7","4"
"6466","9721","118519","4","8"
"6467","9733","118532","2","2"
"6468","9722","118521","6","7"
"6469","9724","118523","3","6"
"6470","9726","118526","4","4"
"6471","9727","118525","7","6"
"6472","9729","118528","2","2"
"6473","9735","118535","5","7"
"6481","9730","118529","2","2"
"6482","9731","118530","3","4"
"6483","9725","118524","3","4"
"6484","9106","157737","NSS","NSS"
"6485","10371","163114","7","12"
"6486","10371","163112","7","24"
"6487","10371","163119","7","24"
"6488","10371","163128","7","20"
"6489","10371","163129","7","24"
"6490","10371","163131","7","12"
"6491","10371","163134","7","24"
"6492","10371","163133","7","12"
"6493","10371","163136","7","18"
"6494","10371","163137","7","12"
"6495","10371","163139","7","24"
"6496","10371","163140","7","24"
"6497","10371","163155","7","24"
"6498","10371","163159","7","24"
"6499","10371","163138","7","24"
"6500","10371","163170","7","12"
"6501","10371","163161","7","24"
"6502","10371","163163","7","20"
"6509","10055","255591","7","10"
"6510","885","255590","7","4"
"6511","10056","255592","7","6"
"6512","886","255590","7","4"
"6513","10057","255594","7","10"
"6514","884","255590","7","4"
"6515","8315","295440","7","9"
"6516","8315","295436","7","9"
"6517","8315","295442","7","9"
"6518","8315","295476","4","2"
"6519","10058","255594","7","8"
"6520","887","255593","7","8"
"6521","9497","248719","7","12"
"6522","6780","302087","6","9"
"6523","7733","181680","7","24"
"6524","6699","116730","5","24"
"6525","6699","116685","5","24"
"6526","6699","116610","7","24"
"6527","6699","116609","5","24"
"6528","6699","116659","5","24"
"6529","6699","116629","7","24"
"6530","6699","116647","7","24"
"6531","6699","116654","7","24"
"6532","6699","116623","5","24"
"6533","6699","116639","7","24"
"6534","6699","116658","7","24"
"6535","6699","116642","7","24"
"6536","6699","116768","7","24"
"6537","6699","116605","7","24"
"6538","6699","116776","7","24"
"6539","6699","116624","7","24"
"6540","1325","261104","7","14"
"6541","1325","261091","7","14"
"6547","3846","260793","","8"
"6548","3846","260805","","8"
"6549","3846","260801","3","24"
"6550","3846","260802","3","24"
"6551","3846","260800","","4"
"6552","3846","260812","","4"
"6553","3846","260809","2","24"
"6571","6161","119903","3","8"
"6572","6161","119923","4","8"
"6573","7882","301414","NA","NA"
"6574","7882","301414","NA","NA"
"6575","7882","301414","NA","NA"
"6576","7882","301414","NA","NA"
"6577","7882","301414","NA","NA"
"6578","7882","301414","NA","NA"
"6579","7882","301414","NA","NA"
"6580","7882","301414","NA","NA"
"6581","1534","140716","1","10"
"6582","1531","140713","4","12"
"6583","1530","140714","4","15"
"6586","1929","143146","7","18"
"6587","1929","143151","4","6"
"6588","1929","143153","3","6"
"6589","1929","143162","3","10"
"6590","12642","183134","2","3"
"6591","12642","183126","7","24"
"6592","12642","183133","7","24"
"6593","12642","183137","2","4"
"6594","12642","183132","2","3"
"6595","12642","183139","7","24"
"6596","12642","183138","2","4"
"6597","10053","83925","7","11"
"6598","10053","300978","7","11"
"6599","10053","83932","7","11"
"6600","9144","115247","NSS","NSS"
"6607","9145","115223","NSS","NSS"
"6629","9146","115223","NSS","NSS"
"6630","8620","144077","NA","NA"
"6631","8620","144119","NA","NA"
"6632","8620","144094","NA","NA"
"6633","8620","144134","NA","NA"
"6634","8620","144096","NA","NA"
"6635","8620","144084","NA","NA"
"6636","8620","144123","NA","NA"
"6637","8620","144122","NA","NA"
