"agua_prog_id_serial","agua_prog_folio","agua_prog_nom_rasgo","agua_prog_ambito"
"627","02005","MEJORAMIENTO DE EFICIENCIA FÍSICA","2"
"628","02005","MEJORAMIENTO A LA EFICIENCIA COMERCIAL","2"
"629","02005","PROGRAMA EN LA INVERSIÓN DE LA INFRAESTRUCTURA","2"
"630","05030","CULTURA DEL AGUA EN ESCUELAS PRIMARIAS PUBLICAS","1"
"631","05030","REFORESTACION DE LA SIERRA DE ZAPALINAME","1"
"633","05030","CULTURA DEL AGUA EN EJIDOS","1"
"634","05030","AQUA TIPS","1"
"636","02003","FONDO METROPOLITANO","3"
"637","02003","PROGRAMA DE AGUA LIMPIA","3"
"638","24054","AGUA LIMPIA","2"
"640","26047","AGUA LIMPIA","2"
"641","17011","PROGRAMA DE CULTURA DEL AGUA","3"
"661","25002","APAZU","3"
"662","25002","PROSSAPYS","3"
"663","25002","PROTAR","3"
"664","25002","PRODDER","3"
"665","25002","AGUA LIMPIA","3"
"667","25005","CULTURA DE AGUA","2"
"681","13054","PROGRAMA DE DEVOLUCIÓN DE DERECHOS (PRODDER 2016)","3"
"682","13059","PRODDER","3"
"683","26030","PROAGUA-APAUR URBANO","3"
"684","26030","PROAGUA-APARURAL-RURAL","3"
"685","13064","AGUA LIMPIA","2"
"686","13065","SANEAMIENTO DEL RIO SALADO Y TULA","3"
"687","13069","PROGRAMA DE DEVOLUCION DE DERECHOS","3"
"688","13069","PROGRAMAS DE TRATAMIENTO DE AGUAS RESIDUALES","3"
"689","13069","PROGRAMA DE AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO DE ZONAS URBANAS (APAZU)","3"
"690","13069","TRATAMIENTO DE AGUAS RESIDUALES (PROSAN)","3"
"691","17013","PROGRAMA PRODDER","3"
"693","17014","PROYECTO DE COLECTOR Y PLANTA TRATADORA DE AGUAS RESIDUALES","2"
"694","13081","PRODDER (PROGRAMA DE DEVOLUCION DE DERECHOS)","3"
"695","02002","RAMO 23 ","3"
"696","02002","PROGRAMA SANEAMIENTO FINANCIERO","2"
"697","02002","PROGRAMA PARA CONSTRUCCION Y REHABILITACION DE SISTEMAS DE AGUA POTABLE Y SANEAMIENTO EN ZONAS RURALES ","3"
"698","02002","PROGRAMA DE AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO (PROAGUA)APARTADO RURAL","3"
"699","02002","FORTALECE","2"
"701","30038","PROGRAMA DE DEVOLUCION DE DERECHOS ( PRODDER )","3"
"702","30038","PROGRAMA DE TRATAMIENTO DE AGUAS RESIDUALES ( PROSAN )","3"
"703","30038","PROGRAMA DE DESARROLLO INTEGRAL DE ORGANISMOS OPERADORES (PRODI)","3"
"704","30038","PROGRAMA DE SANEAMIENTO DE AGUAS RESIDUALES ( PROSANEAR )","3"
"705","07017","PRODEF","3"
"708","18007"," CULTURA DEL AGUA","3"
"711","30037","AGUA LIMPIA (CULTURA DEL AGUA)","3"
"712","30037","ABC (AGUA BOSQUES Y CUENCAS)","2"
"715","25007","PROGRAMA PARA LA CONSTRUCCIÓN Y REHABILITACIÓN DE SISTEMAS DE AGUA POTABLE Y SANEAMIENTO EN ZONAS RURALES","3"
"716","25007","PROGRAMA DE AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO EN ZONAS URBANAS","3"
"717","25009","PRODI","3"
"718","05010","PRODDER","3"
"719","05010","PRODI","3"
"721","25011","PROGRAMA DEL RAMO XXXIII","3"
"722","25013","APARURAL","3"
"723","25013","CULTURA DEL AGUA","3"
"724","25015","APAUR (AGUA POTABLE Y ALCANTARILLADO EN ZONAS URBANAS)","3"
"725","25015","PROSSAPYS (PROGRAMA PARA LA SOSTENIBILIDAD DE LOS SERVICIOS DE AGUA Y SANEAMIENTO EN ZONAS RURALES)","3"
"726","25015","FISM (FONDO PARA LA INFRAESTRUCTURA SOCIAL MUNICIPAL)","1"
"727","24003","PROGRAMA AGUA LIMPIA","2"
"728","24003","APOYO COEPRIS","2"
"729","26055","PLAN INTEGRAL MUNICIPAL DE AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO","1"
"730","24024","PROSANEAR","3"
"731","24024","CULTURA DEL AGUA","3"
"732","24024","PRODER","3"
"733","24024","AGUA LIMPIA (AAL)","3"
"734","24024","PRODI","3"
"735","24031","PROAGUA APARTADO RURAL 2016","3"
"736","15055","RED DE AGUA POTABLE DE MAZACHULCO","1"
"737","30026","PROTAR","3"
"739","17015","OPERACIÓN DE PLANTAS","1"
"740","30044","PROGRAMA PARA EL DESARROLLO INTEGRAL DE ORGANISMOS OPERADORES (PRODI)","3"
"741","06005","CULTURA DEL CUIDADO DEL AGUA","3"
"742","06005","AGUA LIMPIA","3"
"747","13003","PROGRAMA DE DEVOLUCIÓN DE DERECHOS","3"
"748","13003","PROGRAMA DE SANEAMIENTO","3"
"761","25001","NIÑOS GUARDIANES DEL AGUA","2"
"781","28015","PROGRAMA DE AGUA POTABLE Y ALCANTARILLADO Y SANEAMIENTO","3"
"782","28015","PROGRAMA DE DEVOLUCION DE DERECHOS (PRODDER)","3"
"783","28028","CUIDEMOS EL AGUA","3"
"785","28038","CULTURA DEL AGUA","3"
"786","28009","CULTURA DEL AGUA","3"
"801","13023","PRODDER (NOMBRE COMPLETO)","3"
"802","31001","CUIDEMOS EL AGUA ( DÍA MUNDIAL DEL AGUA)","1"
"804","30030","PROGRAMA DE DEVOLUCION DE DERECHOS (PRODDER)","3"
"805","13025","CULTURA DEL AGUA","3"
"806","13028","ESPACIOS DE CULTURA DEL AGUA","2"
"821","30087","PROAGUA","3"
"822","30087","PRODI","3"
"823","30087","PRODDER","3"
"824","30087","PROSANEAR","3"
"825","30087","PROSAN INCENTIVOS / INFRAESTRUCTURA","3"
"826","30066","AGUA LIMPIA (CULTURA DEL AGUA)","3"
"827","30066","ABC (AGUA BOSQUES Y CUENCAS)","2"
"841","14022","AGUA LIMPIA","2"
"842","26043","APASU","3"
"843","26043","PROSAN","3"
"844","13035","PLANTAS TRATADORAS DE AGUAS RESIDUALES","2"
"861","23010","SUSTITUCIÓN DE LINEA DE CONDUCCIÓN DE LA CIUDAD DE BACALAR","2"
"862","23010","REHABILITACIÓN DE LA PTAR SAN JOAQUIN","2"
"863","30064","AGUA LIMPIA (CULTURA DEL AGUA)","3"
"864","15064","FONDO PARA LA INFRAESTRUCTURA SOCIAL MUNICIPAL (FISM)","3"
"865","15064","FONDO PARA LA INFRESTRUCTURA SOCIAL MUNICIPAL Y DEMARCACIONES TERRITORIALES DEL DISTRITO FEDERAL (FISMDF)","2"
"866","15064","PROGRAMA DE AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO (PROAGUA, APARTADO RURAL)","2"
"871","31065","ESPACIO CULTURAL DE AGUA","3"
"872","30192","CULTURA DEL AGUA","3"
"873","30102","CULTURA DEL AGUA","3"
"881","30061","CULTURA DEL AGUA","3"
"882","14004","CULTURA DEL AGUA CREACION ECAS ESPACIOS CULTURALES","3"
"901","14026","FAISM","3"
"902","30040","AGUA LIMPIA (CULTURA DEL AGUA)","3"
"903","30040","ABC (AGUA BOSQUES Y CUENCAS)","2"
"921","18020","PRODI (PROGRAMA DE DESARROLLO INTEGRAL DE ORGANISMOS OPERADORES)","3"
"922","18020","PRODER (PROGRAMA DE DEVOLUCION DE DERECHOS)","3"
"923","18020","PROSANEAR (PROGRAMA DE SANEAMIENTO DE AGUAS RESIDUALES)","3"
"924","16020","PROSAN","3"
"925","16020","PROAGUA","3"
"926","16020","FISMDF","1"
"943","32005","PRODDER","3"
"945","32005","PRODI","3"
"981","31056","ESPACIO DE CULTURA DEL AGUA","3"
"982","31064","CUIDEMOS EL AGUA","1"
"984","31066","AGUAS LIMPIAS","2"
"987","13012","PROGRAMA AGUA LIMPIA","2"
"988","32008","AGUA CLARA","1"
"989","32008","AGUA PARA TODOS","2"
"991","13014","PROCAPTAR","3"
"992","32014","PROGRAMA DE TRATAMIENTO DE AGUAS RESIDUALES PROTAR","3"
"993","32019","PRODDER PROGRAMA DE DEVOLUCION DE DERECHOS","3"
"994","32019","PROGRAMA DE INCENTIVOS PARA LA PTAR","3"
"995","32020","PROGRAMA DE INCENTIVOS PARA EL TRATAMIENTO DE AGUAS RESIDUALES","3"
"996","32020","PROGRAMA DE DEVOLUCIÓN DE DERECHOS","3"
"997","32023","CULTURA DEL AGUA","3"
"999","32034","PRODER","3"
"1000","32034","PROSANEAR","3"
"1001","32039","INCENTIVOS CONAGUA","3"
"1002","32044","PRODER","3"
"1003","32044","PROSAN","3"
"1004","32049","PROGRAMA DE DEVOLUCÍON DE DERECHOS PRODDER","3"
"1005","32049","PROGRAMA TRATAMIENTO DE AGUAS RESIDUALES PROTAR","3"
"1006","32055","PROTAR PROGRAMA DE TRATAMIENTO DE AGUAS RESIDUALES","3"
"1007","30085","USO ADECUADO DEL AGUA POTABLE","1"
"1008","31085","CULTURA DEL AGUA","3"
"1010","31102","PROGRAMA PARA EL DESARROLLO INTEGRAL DE ORGANISMOS DE AGUA POTABLE Y SANEAMIENTO","3"
"1012","04003","CULTURA DEL AGUA","3"
"1013","04004","CULTURA DEL AGUA","3"
"1014","30113","CULTURA DEL AGUA","2"
"1017","04011","PROGRAMA AGUA LIMPIA","3"
"1018","04011","PRODDER","3"
"1019","04011","CULTURA DEL AGUA E005","3"
"1020","04001","CULTURA DEL AGUA","3"
"1021","04005","CURSO DE CAPACITACIÓN A LOS PROCURADORES DEL AGUA","2"
"1022","04008","CULTURA DEL AGUA E005 2016","3"
"1023","04008","AGUA LIMPIA 2016","2"
"1024","30129","CULTURA DEL AGUA","3"
"1025","31026","ESPACIO DEL AGUA","2"
"1026","30117","SIETE AGUAS-CABECERA","2"
"1027","30152","PROGRAMA DE DEVOLUCIÓN DE DERECHOS CONAGUA","3"
"1028","04010","CULTURA DEL AGUA","3"
"1029","04002","CULTURA DEL AGUA","3"
"1030","16009","PERFORACIÓN DE POZO PROFUNDO","1"
"1031","16009","CUIDADO DEL AGUA","3"
"1035","16051","PRODDER 2016","3"
"1036","16062","PRODDER","3"
"1037","28029","LAGUNA DE OXIDACION","2"
"1039","16012","CONCIENTIZACION DEL CUIDADO DEL AGUA","1"
"1040","16023","PRODDER","3"
"1041","31019","CUIDEMOS EL AGUA","1"
"1042","16058","ESPACIO DE LA CULTURA DEL AGUA","3"
"1043","16050","PROGRAMA DE DEVOLUCION DE DERECHOS (PRODDER)","3"
"1044","16050","PROGRAMA DE SANEAMIENTO DE AGUAS RESIDUALES (PROSANEAR)","3"
"1063","16072","REHABILITACION DEL SISTEMA DE AGUA POTABLE","1"
"1064","16073","CULTURA DEL AGUA","3"
"1065","21002","EL CUIDADO DEL AGUA","1"
"1066","13006","CULTURA DEL AGUA","3"
"1067","13006","CULTURA DEL AGUA","3"
"1068","13009","PROGRAMA DE DEVOLUCION DE DERECHOS (PRODDER)","3"
"1069","13009","PROGRAMA DE AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO EN ZONAS URBANAS (APAZU)","3"
"1070","13011","CULTURA DEL AGUA","3"
"1073","23003","RECUPERACIÓN DE ESPACIOS Y ELABORACIÓN DE HUERTOS EDUCATIVOS","1"
"1076","13042","AGUA LIMPIA","2"
"1077","30155","IMPARTICIÓN DE PLATICAS SOBRE CUIDADO DEL AGUA","1"
"1078","29015","CULTURA DEL AGUA","3"
"1079","30169","REHABILITACION DE LAGUNAS DE AGUAS NEGRAS","2"
"1080","30164","PROGRAMA MUNICIPAL DE TRATAMIENTO DE LA PLANTA POTABILIZADORA","1"
"1081","23004","CULTURA DEL AGUA","3"
"1102","23007","ESPACIO DE CULTURA DEL AGUA","3"
"1104","13029","CULTURA DEL AGUA","3"
"1110","16019","CULTURA DEL AGUA","3"
"1111","16030","PROGRAMA DE DEVOLUCION DE DERECHOS (PRODDER)","3"
"1112","16034","PROGRAMA DE DEVOLUCION DE DERECHOS POR AGUA POTABLE (PRODDER)","3"
"1113","16034","PROGRAMA DE DEVOLUCION DE DERECHOS POR DESCARGAS (PROSANEAR)","3"
"1122","30161","CULTURA DEL AGUA","3"
"1125","16108","PROTAR","3"
"1128","24011","APARTADO URBANO (APAUR)","3"
"1129","24011","CULTURA DEL AGUA","3"
"1130","24011","PRODER","3"
"1131","24011","AGUA LIMPIA (AAL)","3"
"1132","24042","PROGRAMA DE AGUA LIMPIA","2"
"1133","24058","ESPACIO DE CULTURA DEL AGUA","3"
"1136","08040","SECTORIZACION","2"
"1137","08017","PROTAR","3"
"1141","30203","AGUA LIMPIA (CULTURA DEL AGUA)","3"
"1142","30203","ABC (AGUA BOSQUES Y CUENCAS)","2"
"1143","09002","PROGRAMA DE SUSTENTABILIDAD Y GESTIÓN DE LOS SERVICIOS HÍDRICOS (PSGSH)","2"
"1144","09002","PROGRAMA HIDRÍCO ESTATAL","2"
"1145","30189","USO EFICIENTE DEL AGUA","2"
"1146","30189","CULTURA DEL AGUA","3"
"1147","31041","AGUA LIMPIA","3"
"1148","31041","CONAGUA SENSIBILIZACIÓN Y CUIDADO DEL AGUA","3"
"1149","31075","CUIDEMOS EL AGUA","3"
"1150","30109","CULTURA DEL AGUA","3"
"1151","30206","PRODER","3"
"1161","30115","CULTURA DEL AGUA","3"
"1167","16098","PRODDER","3"
"1168","16100","PRODET","3"
"1169","16110","PRODDER","3"
"1170","16110","PROSANEAR","3"
"1171","16025","PROSANEAR","3"
"1181","14075","CULTURA DEL AGUA","3"
"1185","16060","PRODDER 2016","3"
"1186","16068","CULTURA DEL AGUA","3"
"1192","16105","ESPACIO DE CULTURA DEL AGUA","3"
"1194","16106","PRODDER","3"
"1197","16107","PRODDER","3"
"1198","16107","PROSANEAR","3"
"1199","30207","DESCUENTO EN PAGO ANUAL ANTICIPADO","2"
"1200","30207","DESCUENTO EN MULTAS Y RECARGOS.","2"
"1201","16010","PRODEER","3"
"1204","10006","ESPACIO DE CULTURA DEL AGUA","3"
"1205","10005","PROSAN (PROGRAMA DE SANEAMIENTO)","3"
"1207","10020","CULTURA DEL AGUA","3"
"1208","17029","CULTURA DEL AGUA","3"
"1209","16041","PRODDER","3"
"1210","13064","AGUA LIMPIA","3"
"1211","30183","CULTURA DEL AGUA","3"
"1227","15106","DE DEVOLUCIÓN DE DERECHOS","3"
"1228","15106","DE DESARROLLO INSTITUCIONAL","3"
"1229","15106","FONDO DE INFRAESTRUCTURA SOCIAL MUNICIPAL Y DE LAS DEMARCACIONES TERRITORIALES DEL DISTRITO FEDERAL.","1"
"1230","13013","PLAN ESTATAL DE DESARROLLO","2"
"1232","16052","PROGRAMA DE DEVOLUCIÓN DE DERECHOS (PRODDER)","3"
"1233","14055","PROTAR","3"
"1234","14055","PRODER","3"
"1235","14080","EDUCACION CULTURAL DEL AGUA","2"
"1236","14058","ESPACIO DE CULTURA DEL AGUA","1"
"1237","14084","PRODDER","3"
"1238","14084","PROTAR","3"
